cfb_name,teamrankings_name,Logo,Color1,Color2
Navy,Navy,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,#00205b,#c5b783
NC State,NC State,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,#CC0000,#FFFFFF
Nebraska,Nebraska,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,#e41c38,#fdf2d9
Nevada,Nevada,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,#003366,#807f84
New Hampshire,New Hampshire,#N/A,#N/A,#N/A
New Mexico,New Mexico,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,#B71234,#C3C8C8
New Mexico State,New Mexico St,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,#8c0b42,#FFFFFF
New Orleans,New Orleans,#N/A,#N/A,#N/A
Niagara,Niagara,#N/A,#N/A,#N/A
Nicholls,Nicholls,#N/A,#N/A,#N/A
NJIT,NJIT,#N/A,#N/A,#N/A
Norfolk State,Norfolk St,#N/A,#N/A,#N/A
North Alabama,N Alabama,,,
North Carolina,North Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,#7BAFD4,#FFFFFF
North Carolina A&T,NC A&T,#N/A,#N/A,#N/A
North Carolina Central,NC Central,,,
North Dakota,North Dakota,,,
North Dakota State,N Dakota St,#N/A,#N/A,#N/A
North Florida,N Florida,#N/A,#N/A,#N/A
North Texas,N Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,#00853E,#FFFFFF
Northeastern,Northeastern,#N/A,#N/A,#N/A
Northern Arizona,N Arizona,#N/A,#N/A,#N/A
Northern Colorado,N Colorado,#N/A,#N/A,#N/A
Northern Illinois,N Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,#ba0c2f,#000000
Northern Iowa,N Iowa,#N/A,#N/A,#N/A
Northern Kentucky,N Kentucky,,,
Northwestern,Northwestern,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,#4E2A84,#FFFFFF
Northwestern State,NW State,#N/A,#N/A,#N/A
Notre Dame,Notre Dame,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,#0C2340,#C99700
Oakland,Oakland,#N/A,#N/A,#N/A
Ohio,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,#00694E,#FFFFFF
Ohio State,Ohio St,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,#bb0000,#666666
Oklahoma,Oklahoma,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,#841617,#FDF9D8
Oklahoma State,Oklahoma St,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,#FF7300,#000000
Old Dominion,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,#05344C,#7c878e
Ole Miss,Mississippi,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,#00205b,#c8102e
Omaha,Omaha,,,
Oral Roberts,Oral Roberts,#N/A,#N/A,#N/A
